pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
AU Mic b,AU Mic,1,1,4,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,8.46308,0.00006,-0.00006,0,0.0649,0.0012,-0.0012,0,3.95677019,0.14571675,-0.14571675,0,0.353,0.013,-0.013,0,,,,,,,,,,0.00577,0.00101,-0.00101,0,21.2,2.5,-2.4,0,600,17,-16,0,1,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,,3678,90,-88,0,0.744,0.023,-0.021,0,0.51,0.028,-0.027,0,0.23,0.24,-0.3,0,[Fe/H],4.404,0.026,-0.031,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h45m09.87s,311.2911369,-31d20m32.82s,-31.34245,9.7221,0.004625,-0.004625,8.81,0.1,-0.1,4.529,0.02,-0.02,7.84038,0.000731,-0.000731,9/28/2024,2023-12,9/28/2024
AU Mic c,AU Mic,1,1,4,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,18.85969,0.00008,-0.00008,0,0.1108,0.002,-0.002,0,2.52202066,0.24659758,-0.24659758,0,0.225,0.022,-0.022,0,,,,,,,,,,0.00338,0.00164,-0.00164,0,7.3,0.9,-0.8,0,459,13,-12,0,0,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,,3678,90,-88,0,0.744,0.023,-0.021,0,0.51,0.028,-0.027,0,0.23,0.24,-0.3,0,[Fe/H],4.404,0.026,-0.031,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h45m09.87s,311.2911369,-31d20m32.82s,-31.34245,9.7221,0.004625,-0.004625,8.81,0.1,-0.1,4.529,0.02,-0.02,7.84038,0.000731,-0.000731,9/28/2024,2023-12,9/28/2024
BD+05 4868 A b,BD+05 4868 A,1,2,1,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=HON_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv250105431H/abstract target=ref>Hon et al. 2025</a>,1.271869,0.000001,-0.000001,0,0.0208,0.0003,-0.0003,0,,,,,,,,,6.2,,,1,0.01950738,,,1,Mass,,,,,,,,,1820,45,-45,0,0,<a refstr=HON_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv250105431H/abstract target=ref>Hon et al. 2025</a>,K V,4596,65,-64,0,0.69,0.02,-0.02,0,0.7,0.02,-0.02,0,-0.05,0.08,-0.05,0,[Fe/H],4.6,0.03,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h47m26.74s,326.8614036,+06d36m19.15s,6.6053185,43.5687,0.0975,-0.0971,10.158,0.01,-0.01,7.448,0.026,-0.026,9.84152,0.000476,-0.000476,3/21/2025,2025-01,3/21/2025
BD-14 3065 b,BD-14 3065 A,1,3,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=_SCARON_UBJAK_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240312311S/abstract target=ref>&Scaron;ubjak et al. 2024</a>,4.2889731,0.0000052,-0.0000052,0,0.0656,0.0026,-0.0026,0,21.59,1.05,-1.05,0,1.926,0.094,-0.094,0,3932,290,-280,0,12.37,0.92,-0.87,0,Mass,0.066,0.0098,-0.011,0,,,,,2001,31,-31,0,0,<a refstr=_SCARON_UBJAK_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240312311S/abstract target=ref>&Scaron;ubjak et al. 2024</a>,,6935,90,-90,0,2.35,0.08,-0.08,0,1.41,0.05,-0.05,0,-0.34,0.05,-0.05,0,[Fe/H],3.85,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h14m40.72s,153.6696689,-15d38m34.21s,-15.6428372,589.423,16.599,-15.729,11.1,0.013,-0.013,9.932,0.026,-0.026,10.91,0.001617,-0.001617,6/25/2024,2024-03,6/25/2024
DS Tuc A b,DS Tuc A,1,2,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=NEWTON_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...880L..17N/abstract target=ref>Newton et al. 2019</a>,8.138268,0.000011,-0.000011,0,,,,,5.7,0.17,-0.17,0,0.50851994,0.01516638,-0.01516638,0,,,,,,,,,,0,,,0,,,,,850,,,0,0,<a refstr=NEWTON_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...880L..17N/abstract target=ref>Newton et al. 2019</a>,G6 V,5428,80,-80,0,0.964,0.029,-0.029,0,1.01,0.06,-0.06,0,0,,,0,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h39m39.71s,354.9154673,-69d11m45.75s,-69.196043,44.0622,0.0693,-0.0691,8.17,0.03,-0.03,6.676,0.034,-0.034,8.31926,0.001025,-0.001025,7/3/2019,2019-07,7/11/2019
GJ 1252 b,GJ 1252,1,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=LUQUE__AMP__PALL_EACUTE__2022 href=https://ui.adsabs.harvard.edu/abs/2022Sci...377.1211L/abstract target=ref>Luque &amp; Pall&eacute; 2022</a>,0.5182331,0.0000084,-0.0000084,0,,,,,1.193,0.074,-0.074,0,0.10643251,0.00660185,-0.00660185,0,1.32,0.28,-0.28,0,0.00415318,0.00088098,-0.00088098,0,Mass,0,,,0,,,,,,,,,0,<a refstr=SHPORER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...890L...7S/abstract target=ref>Shporer et al. 2020</a>,M3,3458,140,-133,0,0.391,0.02,-0.02,0,0.381,0.019,-0.019,0,0.1,0.1,-0.1,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h27m42.88s,306.9286462,-56d27m44.23s,-56.4622865,20.373,0.0192,-0.0192,12.68,0.2,-0.2,7.915,0.023,-0.023,11.2364,0.000806,-0.000806,7/10/2023,2022-09,7/10/2023
GJ 143 b,GJ 143,1,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=DRAGOMIR_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...875L...7D/abstract target=ref>Dragomir et al. 2019</a>,35.61253,0.0006,-0.00062,0,0.1915,0.0058,-0.0063,0,2.61,0.17,-0.16,0,0.2328486,0.01516638,-0.01427424,0,22.7,2.2,-1.9,0,0.07142183,0.00692194,-0.00597804,0,Mass,0.188,0.076,-0.078,0,,,,,422,15,-14,0,0,<a refstr=DRAGOMIR_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...875L...7D/abstract target=ref>Dragomir et al. 2019</a>,K4.5,4640,100,-100,0,0.695,0.03,-0.03,0,0.73,0.07,-0.07,0,0.003,0.06,-0.06,0,[Fe/H],4.613,0.052,-0.061,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h27m00.05s,51.7501882,-63d30m00.60s,-63.500166,16.32,0.0071,-0.0071,8.08,0.03,-0.03,5.375,0.024,-0.024,7.67906,0.00026,-0.00026,4/22/2019,2019-04,4/25/2019
GJ 238 b,GJ 238,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=TEY_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..283T/abstract target=ref>Tey et al. 2024</a>,1.7446999,0.0000019,-0.0000018,0,0.02123,0.00016,-0.00017,0,0.566,0.014,-0.014,0,0.05049522,0.001249,-0.001249,0,,,,,,,,,,,,,,,,,,758,16,-15,0,0,<a refstr=TEY_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..283T/abstract target=ref>Tey et al. 2024</a>,M2.5 V,3485,140,-140,0,0.4314,0.0075,-0.0071,0,0.4193,0.0095,-0.0098,0,0.15,0.1,-0.1,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h33m49.17s,98.454881,-58d31m30.11s,-58.5250316,15.2142,0.0071,-0.0072,11.62,0.1,-0.1,7.03,0.023,-0.023,10.5294,0.000463,-0.000463,8/7/2024,2024-06,8/7/2024
GJ 3090 b,GJ 3090,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=ALMENARA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220714121A/abstract target=ref>Almenara et al. 2022</a>,2.8531054,0.0000023,-0.0000023,0,0.03165,0.00027,-0.00027,0,2.13,0.11,-0.11,0,0.1900262,0.00981356,-0.00981356,0,3.34,0.72,-0.72,0,0.01050882,0.00226537,-0.00226537,0,Mass,0.32,,,1,,,,,693,18,-18,0,0,<a refstr=ALMENARA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220714121A/abstract target=ref>Almenara et al. 2022</a>,M2 V,3556,70,-70,0,0.516,0.016,-0.016,0,0.519,0.013,-0.013,0,-0.06,0.12,-0.12,0,[Fe/H],4.727,0.029,-0.029,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h21m45.22s,20.4384281,-46d42m53.00s,-46.7147234,22.4751,0.02605,-0.02605,11.403,0.026,-0.026,7.294,0.026,-0.026,10.5521,0.000938,-0.000938,11/28/2023,2022-07,11/28/2023
GJ 341 b,GJ 341,1,1,1,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=DITOMASSO_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJ...979..214D/abstract target=ref>DiTomasso et al. 2025</a>,7.57686,0.000034,-0.00002,0,,,,,0.88,0.05,-0.05,0,0.07850848,0.00446071,-0.00446071,0,4,,,1,0.01258541,,,1,Mass,0,,,0,13.8,5.9,-3.7,0,,,,,0,<a refstr=DITOMASSO_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJ...979..214D/abstract target=ref>DiTomasso et al. 2025</a>,M1,3770,40,-40,0,0.5066,0.0169,-0.0172,0,0.48,0.03,-0.03,0,-0.16,0.09,-0.09,0,[Fe/H],4.72,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h21m35.85s,140.3993759,-60d16m52.21s,-60.2811692,10.454,0.00315,-0.00315,9.49,0.1,-0.1,5.587,0.021,-0.021,8.67538,0.000559,-0.000559,2/25/2025,2025-02,2/25/2025
GJ 3473 b,GJ 3473,1,2,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=KEMMER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...642A.236K/abstract target=ref>Kemmer et al. 2020</a>,1.1980035,0.0000018,-0.0000019,0,0.01589,0.00062,-0.00062,0,1.264,0.05,-0.049,0,0.11276653,0.0044607,-0.00437149,0,1.86,0.3,-0.3,0,0.00585219,0.0009439,-0.0009439,0,Mass,0,,,0,59.4,5,-4.5,0,773,16,-15,0,0,<a refstr=KEMMER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...642A.236K/abstract target=ref>Kemmer et al. 2020</a>,,3347,54,-54,0,0.364,0.012,-0.012,0,0.36,0.016,-0.016,0,0.11,0.19,-0.19,0,[Fe/H],4.81,0.06,-0.06,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h02m22.47s,120.5936065,+03d20m13.79s,3.3371629,27.3644,0.0376,-0.0376,13.74,0.027,-0.027,8.829001,0.024,-0.024,12.465,0.000343,-0.000343,10/16/2020,2020-10,10/22/2020
GJ 357 b,GJ 357,1,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=ODDO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..134O/abstract target=ref>Oddo et al. 2023</a>,3.9306,0.000002,-0.000002,0,0.036,0.0004,-0.0004,0,1.2,0.06,-0.06,0,0.10705701,0.00535285,-0.00535285,0,,,,,,,,,,,,,,,,,,518,44,-44,0,0,<a refstr=ODDO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..134O/abstract target=ref>Oddo et al. 2023</a>,M2.5 V,3505,51,-51,0,0.337,0.015,-0.015,0,0.342,0.011,-0.011,0,-0.12,0.16,-0.16,0,[Fe/H],4.94,0.07,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h36m01.79s,144.0074644,-21d39m54.23s,-21.6650634,9.44181,0.00511,-0.00511,10.91,0.1,-0.1,6.475,0.017,-0.017,9.88036,0.00144,-0.00144,8/22/2023,2023-03,8/22/2023
GJ 367 b,GJ 367,1,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=GOFFO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230709181G/abstract target=ref>Goffo et al. 2023</a>,0.3219225,0.0000002,-0.0000002,0,0.00709,0.00027,-0.00027,0,0.699,0.024,-0.024,0,0.06236071,0.00214114,-0.00214114,0,0.633,0.05,-0.05,0,0.00199164,0.00015732,-0.00015732,0,Mass,0.06,0.07,-0.04,0,579,57,-52,0,1365,32,-32,0,0,<a refstr=GOFFO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230709181G/abstract target=ref>Goffo et al. 2023</a>,M1.0 V,3522,70,-70,0,0.458,0.013,-0.013,0,0.455,0.011,-0.011,0,-0.01,0.12,-0.12,0,[Fe/H],4.776,0.026,-0.026,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h44m29.15s,146.121464,-45d46m44.46s,-45.7790165,9.41263,0.002835,-0.002835,10.153,0.044,-0.044,5.78,0.02,-0.02,9.15159,0.00065,-0.00065,8/10/2023,2023-07,8/10/2023
GJ 3929 b,GJ 3929,1,1,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=BEARD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220710672B/abstract target=ref>Beard et al. 2022</a>,2.616235,0.000005,-0.000005,0,0.0252,0.0005,-0.0005,0,1.09,0.04,-0.04,0,0.09724345,0.00356857,-0.00356857,0,1.75,0.44,-0.45,0,0.00550612,0.00138439,-0.00141586,0,Mass,0,,,0,17.3,0.7,-0.7,0,568,6,-6,0,0,<a refstr=BEARD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220710672B/abstract target=ref>Beard et al. 2022</a>,,3384,88,-88,0,0.32,0.01,-0.01,0,0.313,0.027,-0.022,0,-0.02,0.12,-0.12,0,[Fe/H],4.89,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h58m18.62s,239.5775678,+35d24m29.21s,35.4081141,15.8095,0.0096,-0.0095,12.675,0.023,-0.023,7.869,0.02,-0.02,11.5109,0.000681,-0.000681,8/1/2022,2022-07,8/1/2022
GJ 806 b,GJ 806,1,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=PALLE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...678A..80P/abstract target=ref>Palle et al. 2023</a>,0.9263237,0.0000009,-0.0000009,0,0.01406,0.0003,-0.0003,0,1.331,0.023,-0.023,0,0.11874407,0.00205193,-0.00205193,0,1.9,0.17,-0.17,0,0.00597807,0.00053488,-0.00053488,0,Mass,,,,,130,6,-6,0,940,10,-10,0,0,<a refstr=PALLE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...678A..80P/abstract target=ref>Palle et al. 2023</a>,M1.5 V,3600,16,-16,0,0.4144,0.0038,-0.0038,0,0.413,0.011,-0.011,0,-0.28,0.07,-0.07,0,[Fe/H],4.98,0.12,-0.12,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h45m04.73s,311.2697002,+44d30m00.85s,44.5002351,12.0445,0.00435,-0.00435,10.79,0.1,-0.1,6.533,0.016,-0.016,9.82461,0.000759,-0.000759,11/28/2023,2023-10,11/28/2023
Gliese 12 b,Gliese 12,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=KUZUHARA_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...967L..21K/abstract target=ref>Kuzuhara et al. 2024</a>,12.761408,0.00005,-0.00005,0,0.0668,0.0024,-0.0024,0,0.958,0.046,-0.048,0,0.08546718,0.00410385,-0.00428228,0,3.87,,,1,0.01217638,,,1,Mass,0.5,,,1,1.62,0.13,-0.11,0,314.6,6,-5.4,0,0,<a refstr=KUZUHARA_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...967L..21K/abstract target=ref>Kuzuhara et al. 2024</a>,M3.0 V,3296,48,-36,0,0.2617,0.0058,-0.007,0,0.2414,0.006,-0.006,0,-0.32,0.06,-0.06,0,[Fe/H],5.21,0.07,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h15m49.90s,3.9579137,+13d33m27.42s,13.5576175,12.21,0.01305,-0.01305,12.6,0.042,-0.042,7.807,0.02,-0.02,11.3963,0.001756,-0.001756,5/21/2024,2024-06,5/21/2024
HD 101581 b,HIP 56998,1,1,2,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=KUNIMOTO_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169...47K/abstract target=ref>Kunimoto et al. 2025</a>,4.46569,0.00029,-0.00032,0,0.046,0.0007,-0.0007,0,0.956,0.061,-0.063,0,0.08528875,0.00544206,-0.00562049,0,,,,,,,,,,,,,,80,9,-8,0,834,23,-23,0,0,<a refstr=KUNIMOTO_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169...47K/abstract target=ref>Kunimoto et al. 2025</a>,,4675,53,-53,0,0.63,0.027,-0.027,0,0.653,0.028,-0.028,0,-0.343,0.059,-0.059,0,[Fe/H],4.654,0.057,-0.057,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h41m01.51s,175.2563039,-44d24m14.93s,-44.4041485,12.7781,0.0114,-0.0114,7.77,0.03,-0.03,5.101,0.016,-0.016,7.38399,0.000281,-0.000281,1/22/2025,2025-01,1/22/2025
HD 101581 c,HIP 56998,1,1,2,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=KUNIMOTO_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169...47K/abstract target=ref>Kunimoto et al. 2025</a>,6.20401,0.00054,-0.00044,0,0.0573,0.0009,-0.0009,0,0.99,0.07,-0.07,0,0.08832204,0.00624499,-0.00624499,0,,,,,,,,,,,,,,52,6,-5,0,747,21,-20,0,0,<a refstr=KUNIMOTO_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169...47K/abstract target=ref>Kunimoto et al. 2025</a>,,4675,53,-53,0,0.63,0.027,-0.027,0,0.653,0.028,-0.028,0,-0.343,0.059,-0.059,0,[Fe/H],4.654,0.057,-0.057,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h41m01.51s,175.2563039,-44d24m14.93s,-44.4041485,12.7781,0.0114,-0.0114,7.77,0.03,-0.03,5.101,0.016,-0.016,7.38399,0.000281,-0.000281,1/22/2025,2025-01,1/22/2025
HD 108236 b,HD 108236,1,1,5,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>,3.795963,0.000025,-0.000034,0,0.04527,0.00096,-0.00088,0,1.615,0.051,-0.051,0,0.14408065,0.00454992,-0.00454992,0,,,,,,,,,,0.045,0.039,-0.033,0,,,,,,,,,1,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>,,5660,61,-61,0,0.877,0.008,-0.008,0,0.869,0.05,-0.048,0,-0.28,0.04,-0.04,0,[Fe/H],4.49,0.11,-0.11,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h26m17.78s,186.5740627,-51d21m46.99s,-51.3630519,64.5978,0.1943,-0.1932,9.25,0.03,-0.03,7.637,0.031,-0.031,9.08745,0.000157,-0.000157,1/21/2021,2021-02,1/28/2021
HD 108236 c,HD 108236,1,1,5,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>,6.203449,0.000049,-0.000046,0,0.062,0.0012,-0.0012,0,2.071,0.052,-0.052,0,0.18476224,0.00463913,-0.00463913,0,,,,,,,,,,0.034,0.042,-0.025,0,,,,,,,,,0,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>,,5660,61,-61,0,0.877,0.008,-0.008,0,0.869,0.05,-0.048,0,-0.28,0.04,-0.04,0,[Fe/H],4.49,0.11,-0.11,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h26m17.78s,186.5740627,-51d21m46.99s,-51.3630519,64.5978,0.1943,-0.1932,9.25,0.03,-0.03,7.637,0.031,-0.031,9.08745,0.000157,-0.000157,1/21/2021,2021-02,1/28/2021
HD 108236 d,HD 108236,1,1,5,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>,14.175685,0.000083,-0.0001,0,0.1074,0.0023,-0.0023,0,2.539,0.062,-0.065,0,0.22651441,0.00553127,-0.00579891,0,,,,,,,,,,0.055,0.038,-0.035,0,,,,,,,,,0,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>,,5660,61,-61,0,0.877,0.008,-0.008,0,0.869,0.05,-0.048,0,-0.28,0.04,-0.04,0,[Fe/H],4.49,0.11,-0.11,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h26m17.78s,186.5740627,-51d21m46.99s,-51.3630519,64.5978,0.1943,-0.1932,9.25,0.03,-0.03,7.637,0.031,-0.031,9.08745,0.000157,-0.000157,1/21/2021,2021-02,1/28/2021
HD 108236 e,HD 108236,1,1,5,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>,19.590025,0.000083,-0.000089,0,0.1367,0.0022,-0.002,0,3.083,0.052,-0.052,0,0.27504684,0.00463913,-0.00463913,0,,,,,,,,,,0.058,0.032,-0.036,0,,,,,,,,,0,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>,,5660,61,-61,0,0.877,0.008,-0.008,0,0.869,0.05,-0.048,0,-0.28,0.04,-0.04,0,[Fe/H],4.49,0.11,-0.11,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h26m17.78s,186.5740627,-51d21m46.99s,-51.3630519,64.5978,0.1943,-0.1932,9.25,0.03,-0.03,7.637,0.031,-0.031,9.08745,0.000157,-0.000157,1/21/2021,2021-02,1/28/2021
